videoId,video_title,video_description,title_word_count,title_exclamation_question_count,how_many_numbers_in_title,words_with_uppercase_in_title,description_word_count,number_of_hashtags_in_description,video_duration,category,day_of_week_uploaded,view_count,like_count,comment_count,channelId,channel_title,subscriberCount,channel_video_count,channel_view_count,days_since_upload
li5ARcJ4irw,Pes 2016 on android ppsspp,,5,0,4,1,0,0,132,22,Sunday,316,3,2,UCfQs3iD76yo0NqD9-IJTTfg,__gaszn___ixv,1,1,316,3069
waMB5CaJQkY,"Обслуживание одной фермы за 5 минут, полностью. Rise of Empires","Сделано все, кроме похода на великана, и заданий провинции. 

В идеале иметь четное количество ферм, чтобы потом одной фермой создать поход, зайти на другую и направить легион. 

Также задания провинции займут ещё несколько минут, это не показано, но думаю вы поняли принцип. 

Важно, то что обслуживание 6 ферм, с полностью закрытыми ежедневными заданиями, заданиями провинции, копанием плит - занимает 30-40 минут в день. Чтобы набить руки - необходимо сделать расстановку зданий идентичную на всех фермах, иметь идентичные технологии, и идентичные здания. 

Пользуйтесь.",10,0,1,3,82,0,333,22,Monday,173,4,2,UCi3p-7WH43lXChXiXnL62nQ,iXV,2,1,173,1437
OppbrHwjPiw,PLAYING WITH EXTREME LAG!!!!!!!!,WOW I STILL DID GOOD???????????? ^_^,4,8,0,4,6,0,482,22,Thursday,23,3,1,UCfyZK3URxdg_OlKDIjwQahQ,IXV Supreme,2,1,23,3177
R0QJQSjh0PA,Marlon cant be nerf  #marlon #edits #youtubeshorts,,7,0,0,1,0,0,17,22,Wednesday,55,0,0,UCu94xlw8d8Ikg5F_b0kxpUQ,Ixv.editz🕷️,0,6,82,182
sKG8m1ldlOE,Rocket League®_20250130000532,https://store.playstation.com/#!/tid=CUSA01433_00,2,0,14,2,1,1,301,20,Thursday,1,0,0,UCmV2ny_Dy_bWleai1M9EEAg,ixv,1,50,98,293
PbP4zfESRDI,Carti Cookin 🌶️  #CartiBeat #PlayboiCarti  #MusicProducer,,6,0,0,5,0,0,15,22,Sunday,49,1,0,UCj2DRiVSv5DG2BX_3lFfGtw,Ixv Beats,0,4,135,325
ysPQuG87og8,ماب راعب😰فناف🔥(Roblox🔥✨),,2,0,0,1,0,0,581,20,Thursday,67,14,13,UCmenRWtjHbqMgmAcn80FNnw,ixv عبود,50,50,3246,720
w00qw0GAMlc,Top 1 player Qazaqstana,"Games - Cyber Hunter
My name - Old Skan IXV",4,0,1,2,10,0,66,22,Friday,12,0,0,UCHCqHT7iBMRKXT1YLvivx7g,Old Skan IXV,0,1,12,1559
ZiuM2ZXVMKM,Ronaldo phenomenon😏 #football #funny #edit #trending #video #viral,,8,0,0,1,0,0,16,22,Tuesday,44,5,1,UCxXei6kDcKaaWw2egiXZHzg,Ixv,5,6,107,106
5f90-Di2orY,funky friday,1v1s in funky friday,2,0,0,0,4,0,841,22,Monday,2,1,0,UCi3yFpfOowhfiO5UV8HiHCw,ixv.greenx,0,1,2,1661
uF7qlGGR1Wc,magicien 🎶🧙‍♂️(by.chrisou.ixv ),,3,0,0,0,0,0,184,22,Sunday,369,27,0,UCaCnvtgeN2w-IWLiCrFhHHA,chrisou ixv,56,1,369,16
DbXCheyq-ao,link in bio Find all movies on telegram please watch this video 🫶 #viralshorts  #telegram  #viral,,16,0,0,1,0,0,32,22,Thursday,25,0,0,UCeooQZ9iSkAqFpDlXgcieKg,IXV'S CLUB,0,1,25,55
dLMs2kKO9uQ,DCS: Mig-21Bis damaged landing,Landing after losing half wing in dogfight.,4,0,2,2,7,0,120,20,Friday,36,3,0,UCb44Asqb5ir1IPjH7KvqH8w,Hitlepos IXV,4,7,4246,2147
Tx7gYvtEsAY,!-(Yomox)-! 1st Laloon,"Fucks Yeah Yomo
Song: Hendersin - Better Off",3,2,1,2,8,0,153,20,Friday,28,0,0,UChRyLyyWEKA4b_Nf_4c_GaA,Checkas IXV,18,24,615,3883
8rVn07oyr3I,Fortnite #1,,2,0,1,1,0,0,107,20,Sunday,24,0,0,UC4MkUita1MGJtKu-1g2eqkA,Techno IXV,5,4,73,2782
OtSEIjN7QDw,FrozT-Make It X Graffitti X Boston Corleone,B.c They Dont Wanna See Us Make It!,7,0,0,7,8,0,280,22,Thursday,125,8,2,UCqT5hx9uz2dl6U_2PyHVfAA,FrozT IXV,15,13,1638,2225
I1mYZzIzRs4,Lucky to unlucky fortnite,"Friends youtube: bleachedGun 


FORTNITE
https://store.playstation.com/#!/en-au/tid=CUSA07669_00",4,0,0,1,5,1,629,20,Friday,8,1,0,UC0hznE4A-Ic1djXv87N_L3w,IXV,1,3,29,2392
eqRDyYD1Xqo,Semi-Heated First To 3 Set | MK1 Gameplay,,8,0,2,6,0,0,896,20,Friday,48,4,0,UC-kKsSS5lr3Sp1cOifUPgcg,IXV Nemesis VXI,94,116,12221,789
g_X18GMZSbU,Circles,"Provided to YouTube by DistroKid

Circles · IXV · Vladimir Calin

On Hold (Soundtrack)

℗ IXV

Released on: 2025-07-13

Auto-generated by YouTube.",1,0,0,1,22,0,301,10,Saturday,18,1,0,UCYovukmvsnx21GCNSxwdKJw,IXV - Topic,12,35,7373,130
TyMlqQYbydo,Graffiti  Wake Up AUDIO ONLY,"I GOTTA BE WHO I AM!!!!
E-mail bookgraffiti317@gmail.com for features.",5,0,0,5,10,0,232,22,Wednesday,250,7,2,UCM-vyY2a2eRN7jGw9Yh9CiQ,Fitti IXV,29,2,1212,2540
JIRZIto3bSo,JUAL!! Akun Mobile legends murah BANGET!! #1,Klo klian minat langsung ae lah di wa,7,4,1,4,8,0,94,22,Saturday,17,1,0,UC1X4SWA_wyDfQIL2bOdWu-A,iXV GAMING17,1,1,17,1880
vfigTTAZuw0,tom odell | another love (speed up x reverb ),phonk : another love speed up reverb 🎐,10,0,0,0,8,0,202,22,Monday,9,1,0,UCosGhVKeRjzm0Qs42cOV1wg,ixv,1,1,9,1234
H33ywXEfQIk,smooth renders |60 fps | ixv,"smooth 60 fps renders 

tags -
#minecraft #60fps #minecraft #fireball",6,0,2,0,10,4,110,22,Wednesday,14,0,0,UCAEcoY3c3FBcehuW121YGvw,ixv,0,1,14,98
Ji9i62QQQCA,Cr7 the goat#goat#cr7 #speed #mrbeast #cool #fyp #sports #children #messi #ronaldo #cold #best,,13,0,2,1,0,0,18,22,Friday,45,2,0,UCQHDH8lzVGpCntNJid9hUoA,IxV,3,8,599,348
cTs51FLvMsE,1v1/IXV VS IVZ/BA/WildCraft/Training,"#wildcraft 
#wildcraftgame 
#games 
#wildcraftvideo 
#battlegrounds 
#pvp 
#wildcraftedit 
#wildcraftpvp 
#wildcraftBA
Music: https://youtube.com/watch?v=np0L-lsLT48&si=EnSIkaIECMiOmarE https://youtube.com/watch?v=vYs4kNdfcrU&si=EnSIkaIECMiOmarE

https://youtube.com/watch?v=DMQZKxbiZpY&si=EnSIkaIECMiOmarE

Games: https://apps.apple.com/us/app/wildcraft-wild-sim-online/id1345522427",3,0,2,3,15,9,493,22,Friday,217,6,2,UCKjLhKe8a4T4lnaip31DdCA,IXV,65,16,8570,999
JyP-bGtsxek,By the grace of God we're still here,,8,0,0,2,0,0,38,22,Tuesday,8,1,0,UCLvwa3aoF1tzJ44WREk1TbA,September Fifth IXV,1,1,8,1982
CRy-d95qyEg,Quest ixv 3world,thank you please subscribe...inspired by fouseytube,3,0,1,1,6,0,269,24,Thursday,10,0,0,UCBTUoTBDlehJsegiH5rQQgQ,Quest ixv,0,3,19,3345
XeeFdri3Ys4,welll this wasn't easy! ┊ixv multi ┊,"hi y'all it me nico aka ixv.multi on tiktok maybe like and sub and if you haven't already go follow my tiktok account @ixv.multi ily all so much 


stay safe have an amazing day!💓💝",7,1,0,0,34,0,9,22,Wednesday,27,1,0,UC5izTvzY32NijYiCYgtD2pg,ixv multi,0,1,27,1694
LTO_p_nMXOw,95IXV Live Anno 1800,,4,0,6,3,0,0,2141,20,Wednesday,6,1,0,UC-3_bK2ufrG0fWIA-TTTftA,95 IXV,50,26,321,973
tOzfiQWIvqw,Mind of Logic piano melody,,5,0,0,2,0,0,17,22,Friday,169,3,0,UCOTwEircMoaRFD2VGkX41NA,steel ixv,2,4,950,2147
3mtfOs-8idI,All girls are the same #shorts #trending,,7,0,0,1,0,0,9,22,Sunday,2,3,0,UCcnHhc6eNPY6rJJf5SgwT0g,IXV.,2,4,41,808
wAkejpaJFkE,Got better!,Just started keyboard and mouse =],2,1,0,1,6,0,529,20,Saturday,2,0,1,UCBhP3_2HWVpMEscJTMnLwgw,YtVeiric IXV,5,19,108,2272
